fund_name,start_nav,end_nav,total_return_%
Axis_Bluechip,24.0092,6156.7532,25543.30839844726
HDFC_Top100_NAV,12.7957,192.3195,1403.0010081511757
ICICI_Bluechip,15.0913,103.0948,583.1406174418373
Kotak_Bluechip,30.6784,246.9814,705.0661051423803
Nippon_LargeCap,14.7718,97.1944,557.9726235123682
SBI_Bluechip,103.1408,104.7025,1.5141437723965705
